Change Type,DB ID,Old Name,New Name,Old Scientific Name,New Scientific Name,Old NBN GUID,New NBN GUID,Match Score,Match Type,Conservation Status
INSERT,NEW,-,,-,Sapyga quinquepunctata,-,NHMSYS0000876664,-,new_species,
INSERT,NEW,-,,-,Tenthredo mesomela,-,NHMSYS0020920295,-,new_species,
INSERT,NEW,-,,-,Trichrysis cyanea,-,NHMSYS0000876762,-,new_species,
INSERT,NEW,-,,-,Ichneumon xanthorius,-,NBNSYS0000031600,-,new_species,
INSERT,NEW,-,Rose Bedeguar Causer,-,Diplolepis rosae,-,NBNSYS0000031893,-,new_species,
INSERT,NEW,-,,-,Trichopria aequata,-,NBNSYS0000032935,-,new_species,
INSERT,NEW,-,,-,Crossocerus nigritus,-,NHMSYS0000875793,-,new_species,
INSERT,NEW,-,,-,Heterarthrus wuestneii,-,NHMSYS0020481251,-,new_species,
INSERT,NEW,-,,-,Astata boops,-,NHMSYS0000875449,-,new_species,
INSERT,NEW,-,Yellow-legged Mining Bee,-,Andrena flavipes,-,NHMSYS0000875202,-,new_species,
INSERT,NEW,-,Fabricius' Nomad Bee,-,Nomada fabriciana,-,NHMSYS0000876415,-,new_species,
INSERT,NEW,-,Sainfoin Blunthorn Bee,-,Melitta dimidiata,-,NHMSYS0000876311,-,new_species,
INSERT,NEW,-,,-,Dolerus germanicus,-,NBNSYS0000013333,-,new_species,
INSERT,NEW,-,,-,Dolerus niger,-,NBNSYS0000013341,-,new_species,
INSERT,NEW,-,,-,Euura pedunculi,-,NHMSYS0021240408,-,new_species,
INSERT,NEW,-,Willughby's Leafcutter Bee,-,Megachile willughbiella,-,NHMSYS0000876303,-,new_species,
INSERT,NEW,-,Ashy Mining Bee,-,Andrena cineraria,-,NHMSYS0000875177,-,new_species,
INSERT,NEW,-,,-,Harpactus tumidus,-,NHMSYS0000876038,-,new_species,
INSERT,NEW,-,Small Tiphia,-,Tiphia minuta,-,NHMSYS0000876758,-,new_species,
INSERT,NEW,-,Yellow Loosestrife Bee,-,Macropis europaea,-,NHMSYS0000876276,-,new_species,
INSERT,NEW,-,,-,Macrophya alboannulata,-,NBNSYS0000042236,-,new_species,
INSERT,NEW,-,,-,Ectemnius sexcinctus,-,NBNSYS0000009512,-,new_species,
INSERT,NEW,-,Bilberry Bumblebee,-,Bombus monticola,-,NHMSYS0000875571,-,new_species,
INSERT,NEW,-,,-,Formica lemani,-,NHMSYS0000875957,-,new_species,
INSERT,NEW,-,Black-headed Leafcutter Bee,-,Megachile circumcincta,-,NHMSYS0000876296,-,new_species,
INSERT,NEW,-,,-,Chrysura radians,-,NHMSYS0000875679,-,new_species,
INSERT,NEW,-,,-,Tenthredo brevicornis,-,NBNSYS0100005774,-,new_species,
INSERT,NEW,-,Common Wasp,-,Vespula vulgaris,-,NHMSYS0000876783,-,new_species,
INSERT,NEW,-,,-,Profenusa pygmaea,-,NHMSYS0020482134,-,new_species,
INSERT,NEW,-,Orange-horned Nomad Bee,-,Nomada fulvicornis,-,NHMSYS0000876423,-,new_species,
INSERT,NEW,-,Yellow Meadow Ant,-,Lasius flavus,-,NHMSYS0000876223,-,new_species,
INSERT,NEW,-,,-,Ectemnius dives,-,NHMSYS0000875883,-,new_species,
INSERT,NEW,-,Red-shanked Carder Bee,-,Bombus ruderarius,-,NHMSYS0000875582,-,new_species,
INSERT,NEW,-,,-,Crossocerus capitosus,-,NHMSYS0000875778,-,new_species,
INSERT,NEW,-,Hedgerow Spinner,-,Pamphilius sylvaticus,-,NHMSYS0020481766,-,new_species,
INSERT,NEW,-,Smeathman's Furrow Bee,-,Lasioglossum smeathmanellum,-,NHMSYS0000876212,-,new_species,
INSERT,NEW,-,,-,Anoplius concinnus,-,NHMSYS0000875305,-,new_species,
INSERT,NEW,-,,-,Empria tridens,-,NHMSYS0020481117,-,new_species,
INSERT,NEW,-,Hawksbeard Mining Bee,-,Andrena fulvago,-,NHMSYS0000875208,-,new_species,
INSERT,NEW,-,Sandpit Mining Bee,-,Andrena barbilabris,-,NHMSYS0000875170,-,new_species,
INSERT,NEW,-,Heather (Girdled) Colletes,-,Colletes succinctus,-,NHMSYS0000875731,-,new_species,
INSERT,NEW,-,Tufted Furrow Bee,-,Lasioglossum nitidiusculum,-,NHMSYS0000876195,-,new_species,
INSERT,NEW,-,,-,Syrphoctonus tarsatorius,-,NBNSYS0000031409,-,new_species,
INSERT,NEW,-,,-,Andricus aries,-,NHMSYS0020470128,-,new_species,
INSERT,NEW,-,Birch Clubhorn,-,Cimbex femoratus,-,NHMSYS0020480904,-,new_species,
INSERT,NEW,-,Least Furrow Bee,-,Lasioglossum minutissimum,-,NHMSYS0000876191,-,new_species,
INSERT,NEW,-,Yellow-shouldered Nomad Bee,-,Nomada ferruginata,-,NHMSYS0000876418,-,new_species,
INSERT,NEW,-,,-,Evagetes crassicornis,-,NBNSYS0000009424,-,new_species,
INSERT,NEW,-,Bloomed Furrow Bee,-,Lasioglossum albipes,-,NHMSYS0000876168,-,new_species,
INSERT,NEW,-,Cryptic Bumblebee,-,Bombus cryptarum,-,NBNSYS0100002027,-,new_species,
INSERT,NEW,-,Purbeck Mason Wasp,-,Pseudepipona herrichii,-,NHMSYS0000876638,-,new_species,
INSERT,NEW,-,,-,Endromopoda detrita,-,NBNSYS0000031025,-,new_species,
INSERT,NEW,-,Blunthorn Nomad Bee,-,Nomada flavopicta,-,NHMSYS0000876421,-,new_species,
INSERT,NEW,-,,-,Lasius alienus,-,NHMSYS0000873235,-,new_species,
INSERT,NEW,-,,-,Caliadurgus fasciatellus,-,NBNSYS0000009399,-,new_species,
INSERT,NEW,-,Red Wood Ant,-,Formica rufa,-,NHMSYS0000875963,-,new_species,
INSERT,NEW,-,,-,Heterarthrus vagans,-,NHMSYS0020481250,-,new_species,
INSERT,NEW,-,,-,Rhopalum coarctatum,-,NHMSYS0000876656,-,new_species,
INSERT,NEW,-,,-,Agenioideus cinctellus,-,NBNSYS0000009414,-,new_species,
INSERT,NEW,-,Spiny Mason Wasp,-,Odynerus spinipes,-,NHMSYS0000876484,-,new_species,
INSERT,NEW,-,,-,Mimesa equestris,-,NBNSYS0100004083,-,new_species,
INSERT,NEW,-,,-,Blennocampa phyllocolpa,-,NBNSYS0100002013,-,new_species,
INSERT,NEW,-,,-,Dolerus nigratus,-,NBNSYS0000013342,-,new_species,
INSERT,NEW,-,Hairy-footed Flower Bee,-,Anthophora plumipes,-,NHMSYS0000875407,-,new_species,
INSERT,NEW,-,White-faced Mason Bee,-,Osmia (Osmia) cornuta,-,NHMSYS0021167227,-,new_species,
INSERT,NEW,-,White-jawed Yellow-face Bee,-,Hylaeus confusus,-,NHMSYS0000876100,-,new_species,
INSERT,NEW,-,,-,Crossocerus megacephalus,-,NHMSYS0000875792,-,new_species,
INSERT,NEW,-,White-zoned Furrow Bee,-,Lasioglossum leucozonium,-,NHMSYS0000876186,-,new_species,
INSERT,NEW,-,,-,Amblyteles armatorius,-,NBNSYS0000031641,-,new_species,
INSERT,NEW,-,,-,Alloxysta victrix,-,NBNSYS0000031952,-,new_species,
INSERT,NEW,-,Small Black Ant,-,Lasius niger,-,NHMSYS0000873237,-,new_species,
INSERT,NEW,-,Hairy Wood Ant,-,Formica lugubris,-,NHMSYS0000875958,-,new_species,
INSERT,NEW,-,,-,Scolioneura betuleti,-,NHMSYS0020482196,-,new_species,
INSERT,NEW,-,,-,Dryudella pinguis,-,NBNSYS0100002902,-,new_species,
INSERT,NEW,-,,-,Monosapyga clavicornis,-,NHMSYS0000876352,-,new_species,
