Change Type,DB ID,Old Name,New Name,Old Scientific Name,New Scientific Name,Old NBN GUID,New NBN GUID,Match Score,Match Type,Conservation Status
INSERT,NEW,-,,-,Aphis (Aphis) ilicis,-,NHMSYS0020738165,-,new_species,
INSERT,NEW,-,,-,Salicarus (Salicarus) roseri,-,NHMSYS0020705907,-,new_species,
INSERT,NEW,-,Poplar-lettuce Aphid,-,Pemphigus (Pemphigus) bursarius,-,NHMSYS0020738345,-,new_species,
INSERT,NEW,-,,-,Tremulicerus vitreus,-,NHMSYS0020705646,-,new_species,
INSERT,NEW,-,,-,Heterocordylus (Heterocordylus) tibialis,-,NHMSYS0020309304,-,new_species,
INSERT,NEW,-,,-,Oncopsis tristis,-,NHMSYS0020705780,-,new_species,
INSERT,NEW,-,,-,Pemphigus (Pemphigus) protospirae,-,NHMSYS0020705807,-,new_species,
INSERT,NEW,-,,-,Alloeotomus gothicus,-,NHMSYS0020308914,-,new_species,
INSERT,NEW,-,,-,Dicyphus (Dicyphus) epilobii,-,NHMSYS0020309169,-,new_species,
INSERT,NEW,-,,-,Closterotomus trivialis,-,NHMSYS0021109892,-,new_species,
INSERT,NEW,-,,-,Macrotylus (Alloeonycha) paykulli,-,NHMSYS0020309412,-,new_species,
INSERT,NEW,-,,-,Polymerus (Poeciloscytus) unifasciatus,-,NHMSYS0020309705,-,new_species,
INSERT,NEW,-,,-,Agnocoris reclairei,-,NHMSYS0020308909,-,new_species,
INSERT,NEW,-,Punctate Corixa,-,Corixa punctata,-,NHMSYS0000527524,-,new_species,
INSERT,NEW,-,,-,Limotettix striola,-,NHMSYS0020705691,-,new_species,
INSERT,NEW,-,,-,Gampsocoris punctipes,-,NHMSYS0020309240,-,new_species,
INSERT,NEW,-,,-,Thecabius (Thecabius) affinis,-,NHMSYS0020705934,-,new_species,
INSERT,NEW,-,,-,Hyadaphis foeniculi,-,NHMSYS0021121673,-,new_species,
INSERT,NEW,-,,-,Nothodelphax distincta,-,NHMSYS0021123051,-,new_species,
INSERT,NEW,-,,-,Deraeocoris (Deraeocoris) flavilinea,-,NHMSYS0020309142,-,new_species,
INSERT,NEW,-,,-,Stenodema (Stenodema) holsata,-,NHMSYS0020309850,-,new_species,
INSERT,NEW,-,,-,Pachypappa tremulae,-,NHMSYS0020738343,-,new_species,
INSERT,NEW,-,,-,Subsaltusaphis (Subsaltusaphis) picta,-,NHMSYS0020738385,-,new_species,
INSERT,NEW,-,,-,Euscelis lineolatus,-,NHMSYS0020705590,-,new_species,
INSERT,NEW,-,,-,Aphis (Aphis) triglochinis,-,NHMSYS0020738184,-,new_species,
INSERT,NEW,-,Moorland Pondskater,-,Gerris (Gerris) costae,-,NHMSYS0020309253,-,new_species,
INSERT,NEW,-,,-,Deltocephalus maculiceps,-,NHMSYS0020705326,-,new_species,
INSERT,NEW,-,,-,Chlamydatus (Euattus) pullus,-,NHMSYS0020309077,-,new_species,
INSERT,NEW,-,,-,Rhopalosiphum maidis,-,NHMSYS0020736461,-,new_species,
INSERT,NEW,-,,-,Coriomeris denticulatus,-,NHMSYS0020309108,-,new_species,
INSERT,NEW,-,,-,Drymus (Sylvadrymus) sylvaticus,-,NHMSYS0020309188,-,new_species,
INSERT,NEW,-,,-,Takecallis arundicolens,-,NHMSYS0020736480,-,new_species,
INSERT,NEW,-,,-,Nysius thymi,-,NHMSYS0020309539,-,new_species,
INSERT,NEW,-,,-,Macropsis cerea,-,NHMSYS0021126463,-,new_species,
INSERT,NEW,-,,-,Sigara (Subsigara) distincta,-,NHMSYS0020309832,-,new_species,
INSERT,NEW,-,,-,Conosanus obsoletus,-,NHMSYS0020705297,-,new_species,
INSERT,NEW,-,,-,Macrosiphoniella (Macrosiphoniella) millefolii,-,NHMSYS0020705716,-,new_species,
INSERT,NEW,-,Common Damselbug,-,Nabis (Nabis) rugosus,-,NHMSYS0020309507,-,new_species,
INSERT,NEW,-,,-,Adelphocoris seticornis,-,NHMSYS0020308898,-,new_species,
INSERT,NEW,-,,-,Unaspis euonymi,-,NHMSYS0021005369,-,new_species,
INSERT,NEW,-,Tree Damsel Bug,-,Himacerus (Himacerus) apterus,-,NHMSYS0020309317,-,new_species,
INSERT,NEW,-,,-,Macustus grisescens,-,NHMSYS0020705727,-,new_species,
INSERT,NEW,-,,-,Macrosteles variatus,-,NHMSYS0020705724,-,new_species,
INSERT,NEW,-,,-,Empoasca vitis,-,NHMSYS0020705544,-,new_species,
INSERT,NEW,-,Meadow Plant Bug,-,Leptopterna dolabrata,-,NHMSYS0020309360,-,new_species,
INSERT,NEW,-,European Fruit Lecanium,-,Parthenolecanium corni,-,NHMSYS0021005139,-,new_species,
INSERT,NEW,-,Fine Streaked Bugkin,-,Miris striatus,-,NHMSYS0020309474,-,new_species,
INSERT,NEW,-,Sphagnum Bug,-,Hebrus (Hebrusella) ruficeps,-,NHMSYS0020309294,-,new_species,
INSERT,NEW,-,,-,Anaceratagallia venosa,-,NHMSYS0020917128,-,new_species,
INSERT,NEW,-,,-,Megalocoleus molliculus,-,NHMSYS0020309427,-,new_species,
INSERT,NEW,-,,-,Aploneura lentisci,-,NHMSYS0020736276,-,new_species,
INSERT,NEW,-,,-,Metatropis rufescens,-,NHMSYS0020309446,-,new_species,
INSERT,NEW,-,,-,Sipha (Sipha) glyceriae,-,NHMSYS0020738372,-,new_species,
INSERT,NEW,-,,-,Enoplops scapha,-,NHMSYS0020309212,-,new_species,
INSERT,NEW,-,,-,Brachycaudus (Thuleaphis) sedi,-,NHMSYS0020736292,-,new_species,
INSERT,NEW,-,Box Bug,-,Gonocerus acuteangulatus,-,NHMSYS0020309271,-,new_species,
INSERT,NEW,-,,-,Livia juncorum,-,NHMSYS0020705699,-,new_species,
INSERT,NEW,-,,-,Dikraneura variata,-,NHMSYS0020705332,-,new_species,
INSERT,NEW,-,,-,Errastunus ocellaris,-,NHMSYS0020705533,-,new_species,
INSERT,NEW,-,Reed Damsel Bug,-,Nabis (Limnonabis) lineatus,-,NHMSYS0020309499,-,new_species,
INSERT,NEW,-,,-,Anoecia (Anoecia) corni,-,NHMSYS0020738137,-,new_species,
INSERT,NEW,-,,-,Anthocoris sarothamni,-,NHMSYS0020308940,-,new_species,
INSERT,NEW,-,Dock Bug,-,Coreus marginatus,-,NHMSYS0020109255,-,new_species,
INSERT,NEW,-,,-,Heterotoma planicornis,-,NHMSYS0020309310,-,new_species,
INSERT,NEW,-,,-,Erzaleus metrius,-,NHMSYS0020977210,-,new_species,
INSERT,NEW,-,,-,Metopeurum fuscoviride,-,NHMSYS0020738313,-,new_species,
INSERT,NEW,-,,-,Calocoris (Calocoris) alpestris,-,NHMSYS0020309017,-,new_species,
INSERT,NEW,-,,-,Acericerus vittifrons,-,NHMSYS0020705647,-,new_species,
INSERT,NEW,-,Bay Sucker,-,Trioza alacris,-,NHMSYS0020705941,-,new_species,
INSERT,NEW,-,,-,Edwardsiana geometrica,-,NHMSYS0020705358,-,new_species,
INSERT,NEW,-,,-,Dicyphus (Dicyphus) errans,-,NHMSYS0020309170,-,new_species,
INSERT,NEW,-,,-,Lipaphis rossi,-,NHMSYS0021299569,-,new_species,
INSERT,NEW,-,,-,Cacopsylla mali,-,NHMSYS0020705845,-,new_species,
INSERT,NEW,-,,-,Cyllecoris histrionius,-,NHMSYS0020309124,-,new_species,
INSERT,NEW,-,,-,Eupteryx florida,-,NHMSYS0020705567,-,new_species,
INSERT,NEW,-,,-,Eupteryx urticae,-,NHMSYS0020705576,-,new_species,
INSERT,NEW,-,,-,Macrosiphoniella (Macrosiphoniella) sanborni,-,NHMSYS0021108920,-,new_species,
INSERT,NEW,-,,-,Calocoris (Calocoris) roseomaculatus,-,NHMSYS0020309018,-,new_species,
INSERT,NEW,-,,-,Agallia consobrina,-,NHMSYS0020705177,-,new_species,
INSERT,NEW,-,,-,Teratocoris saundersi,-,NHMSYS0020309888,-,new_species,
INSERT,NEW,-,Hairy Shieldbug,-,Dolycoris baccarum,-,NHMSYS0020309177,-,new_species,
INSERT,NEW,-,,-,Eurhadina pulchella,-,NHMSYS0020705581,-,new_species,
INSERT,NEW,-,Birch Shieldbug,-,Elasmostethus interstinctus,-,NHMSYS0020309198,-,new_species,
INSERT,NEW,-,Honeysuckle Whitefly,-,Aleyrodes lonicerae,-,NHMSYS0020745989,-,new_species,
INSERT,NEW,-,,-,Sigara (Subsigara) fossarum,-,NHMSYS0020309835,-,new_species,
INSERT,NEW,-,Nut Scale,-,Eulecanium tiliae,-,NHMSYS0021005113,-,new_species,
INSERT,NEW,-,,-,Macrosiphum (Macrosiphum) rosae,-,NHMSYS0020738306,-,new_species,
INSERT,NEW,-,,-,Buchananiella continua,-,NHMSYS0020309011,-,new_species,
INSERT,NEW,-,,-,Eurhadina loewii,-,NHMSYS0020705580,-,new_species,
INSERT,NEW,-,,-,Chloriona unicolor,-,NHMSYS0020705265,-,new_species,
INSERT,NEW,-,,-,Cacopsylla saliceti,-,NHMSYS0020705856,-,new_species,
INSERT,NEW,-,,-,Uroleucon (Uroleucon) jaceicola,-,NHMSYS0020738405,-,new_species,
INSERT,NEW,-,,-,Aphis (Aphis) nasturtii,-,NHMSYS0021121744,-,new_species,
INSERT,NEW,-,,-,Euscelis incisus,-,NHMSYS0020705589,-,new_species,
INSERT,NEW,-,,-,Neophilaenus campestris,-,NHMSYS0020705765,-,new_species,
INSERT,NEW,-,Nettle Groundbug,-,Heterogaster urticae,-,NHMSYS0020109260,-,new_species,
INSERT,NEW,-,,-,Cymus melanocephalus,-,NHMSYS0020309132,-,new_species,
INSERT,NEW,-,,-,Macrosaldula scotica,-,NHMSYS0020309408,-,new_species,
INSERT,NEW,-,Glasshouse Whitefly,-,Trialeurodes vaporariorum,-,NHMSYS0020746007,-,new_species,
INSERT,NEW,-,,-,Nysius senecionis,-,NHMSYS0020309538,-,new_species,
INSERT,NEW,-,Hawthorn-carrot Aphid,-,Dysaphis (Dysaphis) crataegi,-,NHMSYS0020738254,-,new_species,
