Change Type,DB ID,Old Name,New Name,Old Scientific Name,New Scientific Name,Old NBN GUID,New NBN GUID,Match Score,Match Type,Conservation Status
INSERT,NEW,-,Andromeda Lacebug,-,Stephanitis takeyai,-,NHMSYS0021004551,-,new_species,
INSERT,NEW,-,Gorse Lacebug,-,Dictyonota strichnocera,-,NHMSYS0020309161,-,new_species,
INSERT,NEW,-,,-,Aphrophora salicina,-,NHMSYS0020705224,-,new_species,
INSERT,NEW,-,,-,Muellerianella fairmairei,-,NHMSYS0020705753,-,new_species,
INSERT,NEW,-,,-,Trichochermes walkeri,-,NHMSYS0020705936,-,new_species,
INSERT,NEW,-,Rosy Apple Aphid,-,Dysaphis (Pomaphis) plantaginea,-,NHMSYS0020705343,-,new_species,
INSERT,NEW,-,,-,Macrosiphoniella (Macrosiphoniella) absinthii,-,NHMSYS0021121681,-,new_species,
INSERT,NEW,-,,-,Maculolachnus submacula,-,NHMSYS0020736397,-,new_species,
INSERT,NEW,-,,-,Corizus hyoscyami,-,NHMSYS0020309113,-,new_species,
INSERT,NEW,-,,-,Apolygus lucorum,-,NHMSYS0020976911,-,new_species,
INSERT,NEW,-,,-,Macrosiphum (Macrosiphum) albifrons,-,NHMSYS0020738296,-,new_species,
INSERT,NEW,-,,-,Aphis (Aphis) farinosa,-,NHMSYS0020738160,-,new_species,
INSERT,NEW,-,,-,Idiopterus nephrelepidis,-,NHMSYS0021109691,-,new_species,
INSERT,NEW,-,,-,Stenodema (Brachystira) trispinosa,-,NHMSYS0020309848,-,new_species,
INSERT,NEW,-,Bird Cherry-oat Aphid,-,Rhopalosiphum padi,-,NHMSYS0020705872,-,new_species,
INSERT,NEW,-,,-,Baeopelma foersteri,-,NHMSYS0020926521,-,new_species,
INSERT,NEW,-,,-,Sigara (Halicorixa) selecta,-,NHMSYS0020309820,-,new_species,
INSERT,NEW,-,,-,Aphis (Aphis) taraxacicola,-,NHMSYS0020738183,-,new_species,
INSERT,NEW,-,,-,Dicyphus (Dicyphus) stachydis,-,NHMSYS0020309171,-,new_species,
INSERT,NEW,-,,-,Aphis (Aphis) salicariae,-,NHMSYS0021121746,-,new_species,
