Change Type,DB ID,Old Name,New Name,Old Scientific Name,New Scientific Name,Old NBN GUID,New NBN GUID,Match Score,Match Type,Conservation Status
INSERT,NEW,-,,-,Ochlerotatus detritus,-,NHMSYS0021264290,-,new_species,
INSERT,NEW,-,,-,Pales pavida,-,NBNSYS0000030229,-,new_species,
INSERT,NEW,-,,-,Neuratelia nemoralis,-,NBNSYS0000011722,-,new_species,
INSERT,NEW,-,,-,Delia criniventris,-,NBNSYS0000030538,-,new_species,
INSERT,NEW,-,,-,Trichocera annulata,-,NBNSYS0000007952,-,new_species,
INSERT,NEW,-,,-,Platypalpus clarandus,-,NBNSYS0000012241,-,new_species,
INSERT,NEW,-,,-,Platypalpus major,-,NBNSYS0000012270,-,new_species,
INSERT,NEW,-,,-,Culicoides circumscriptus,-,NBNSYS0000027204,-,new_species,
INSERT,NEW,-,Dashed Slender Robberfly,-,Leptogaster guttiventris,-,NBNSYS0000007912,-,new_species,
INSERT,NEW,-,,-,Delia radicum,-,NBNSYS0100002766,-,new_species,
INSERT,NEW,-,,-,Eristalis pertinax,-,NBNSYS0000007052,-,new_species,
INSERT,NEW,-,,-,Allodiopsis rustica,-,NBNSYS0000011857,-,new_species,
INSERT,NEW,-,,-,Themira lucida,-,NBNSYS0000012939,-,new_species,
INSERT,NEW,-,,-,Pelidnoptera nigripennis,-,NBNSYS0000012961,-,new_species,
INSERT,NEW,-,,-,Chlorops pumilionis,-,NBNSYS0000029999,-,new_species,
INSERT,NEW,-,,-,Dolichopus lepidus,-,NBNSYS0000012578,-,new_species,
INSERT,NEW,-,,-,Bibio anglicus,-,NBNSYS0000027778,-,new_species,
INSERT,NEW,-,,-,Phasia barbifrons,-,NBNSYS0100004560,-,new_species,
INSERT,NEW,-,,-,Muscina levida,-,NBNSYS0000030779,-,new_species,
INSERT,NEW,-,,-,Scathophaga lutaria,-,NBNSYS0000030405,-,new_species,
INSERT,NEW,-,,-,Platycheirus europaeus,-,NBNSYS0000033125,-,new_species,
INSERT,NEW,-,,-,Dicranomyia aquosa,-,NBNSYS0100002801,-,new_species,
INSERT,NEW,-,,-,Tipula unca,-,NBNSYS0000008010,-,new_species,
INSERT,NEW,-,,-,Symmerus annulatus,-,NBNSYS0000011622,-,new_species,
INSERT,NEW,-,,-,Phaonia halterata,-,NBNSYS0000030800,-,new_species,
INSERT,NEW,-,,-,Drosophila obscura,-,NBNSYS0000029556,-,new_species,
INSERT,NEW,-,,-,Bicellaria sulcata,-,NBNSYS0000012323,-,new_species,
INSERT,NEW,-,,-,Erioconopa diuturna,-,NBNSYS0100003065,-,new_species,
INSERT,NEW,-,,-,Leptocera finalis,-,NBNSYS0000029136,-,new_species,
INSERT,NEW,-,,-,Chrysotoxum festivum,-,NBNSYS0000006897,-,new_species,
INSERT,NEW,-,,-,Cryptonevra diadema,-,NBNSYS0000145332,-,new_species,
INSERT,NEW,-,,-,Scathophaga inquinata,-,NBNSYS0000030403,-,new_species,
